詞彙,釋義,例句
平行宇宙,調侃他人搞不清楚狀況、沒有現實感。也作「平行時空」。,每次聽他說話都像是在另一個平行宇宙，完全不理解我們現在的處境。
平行時空,參見「平行宇宙」。,在這個故事中，主角無意中打開了一個通往平行時空的門，看到了另一個版本的自己過著截然不同的生活。
打卡,原指上下班記錄出勤時間，現多引申為在某地拍照或確認到訪，通常發表於社交媒體上，以展示到訪或完成某事。,讓這裡瞬間成為打卡拍照熱點
打咖,打網咖的簡稱。也就是去網路咖啡店消費，使用電腦玩遊戲的意思。,放學要揪團打咖嗎？
打馬,「打馬賽克」的簡稱。運用影像處理技術使畫面模糊。,小王在分享照片前，先用應用程式將個人物品的部分打馬，以保護隱私。
打臉,當作找出別人錯認的事實而使之丟臉出糗的意思,他剛才信誓旦旦說自己不會遲到，結果又是最後一個到，這打臉聲音超清脆。
打call,原意為演唱會現場觀眾以螢光棒等方式與台上的表演者互動的形式，後引申為表達對某人，某事，某物的支持和贊成。,新專輯一發行，我當然要為我最喜愛的歌手在線上打call，以表達我的支持和喜愛。
本子,色情漫畫的代稱,他剛買了一本本子，放在書架的最上層以免被家人看到。
本斥但大,本來想要斥責、排斥的事情，但是錢、福利太大所以妥協了。,本斥但大，原本說不當加班狗，結果加班費開到1.5倍，我已經打卡上班了。
本宅,網路用語，指代自己，通常用於描述某人自己的觀點或經歷，以自稱為第三人稱的方式增加敘述的趣味性。,本宅今天第一次在路上看到小改款的白色IS，遠遠的看，根本帥爆
正太,泛指6歲至14歲未成年男性,正太我的最愛
正能量,正面、正向的情感或思想。,每當我感到沮喪時，朋友們的鼓勵總能給我帶來正能量，讓我重新振作起來。
正義魔人,延伸道德規範至不合理地步的人。,在網路上，不乏正義魔人對於別人無心的小錯誤大肆批判，卻忽略了理解和包容才是建立和諧社群的基礎。
母單,自母胎就單身的意思，又作「牡丹」,我是個可悲的母單仔，都快30歲了還教不到女友
母湯,台灣台語「毋通（m̄-thang）」。不可以、不要的意思。也作「毋湯」、「恩湯」。,你晚上不要一個人去那裡，太危險了，母湯母湯！
汁妹,「把妹、虧妹」的意思,他總是在派對上充當汁妹達人，不放過任何搭訕的機會。
瓜,指的是八卦或秘密事件，多用於形容有人或事件中涉及醜聞或令人感興趣的內幕。,沒有瓜，不用板凳，清白簡單清楚，抓一個告一個
瓜張,「誇張」的意思,他說他每天跑十公里，真是瓜張得讓人無法相信。
甘阿捏,用來強烈懷疑他人的用語。,我剛跟你借五百塊，你現在居然說你沒錢吃飯？甘阿捏？
甘蔗男,形容一開始對戀人非常體貼、溫柔，讓人覺得甜如甘蔗，但隨著交往深入，逐漸顯露出冷漠、自私甚至傷害人的本性，就像甘蔗越嚼越渣。,一開始對我很好，現在完全冷漠，真是個甘蔗男。
生火,激起購買欲望。,這款精心設計的新產品成功地在市場上「生火」，讓消費者紛紛趨之若鶩。
生肉,指未經翻譯或處理的原始日文內容，例如日文的動漫、漫畫、小說或影視作品，通常需要具備日文能力的觀眾才能理解。,這部漫畫目前只有生肉，還沒人翻譯
生快,生日快樂,今天是你的特別日子，生快！希望你有個愉快的一天。
生無可戀,生活已經沒什麼好留戀的了,面對接二連三的挫折，他頹然坐下，感覺彷彿生無可戀，只想逃離這一切。
甩鍋,將責任或失敗的原因推到他人身上。,每次出了問題，他總是第一時間甩鍋給其他同事，從來不承認自己的失誤。
白嫖,白嫖指的是不花費金錢或付出代價，僅依靠免費的方式獲得產品或服務，常帶有戲謔或不勞而獲的意味。,他每天都白嫖遊戲裡的免費獎勵，雖然不充錢但還是玩的不亦樂乎。
白爛,指一種故意裝傻、耍賴或不負責任的行為態度，通常帶有無所謂、懶散、不理會後果的意味，亦可以形容一種搞笑的、不正經的風格,1. 他明明知道該做什麼，卻裝白爛，什麼都不管 2. 他的白爛行為有時候還挺搞笑的。
立馬,立即、馬上，表示動作迅速而毫不遲疑。,一看到有折扣，小美立馬下單訂購。
立flag,指預先做出某種預測或承諾，通常因為語氣過於自信或倉促，而最終未能如願以償，反而產生相反結果的情況。,講認真的不要亂預告 容易立flag
共餐,指多人共同進餐的社交活動，通常在社區或公共場合舉行，旨在促進交流與社群凝聚。,台北市8月6日宣布13日起暫停社區老人共餐，地方反彈不便民
再起不能,再也無法振作起來、再也無法打起精神、重傷無法再戰的意思,經過連續多次的打擊，他的事業最終陷入困境，幾乎再起不能。
再戰十年,指事物歷久不衰、好用耐用，不會被新推出的事物取代。也作「再戰10年」、「再戰」。,雖然這款手機已經推出超過五年，許多用戶依舊讚譽它的實用性，甚至預言它可以再戰十年。
印象派,原指19世紀末的一種藝術流派，強調個人感受和瞬間印象。在當代俚語中，常用來形容基於個人主觀印象或直觀感受而非具體數據或證據的評論或回答。,難道板友們的印象派回答會比政府的統計資料精確
吃土,指經濟拮据，無法買食物填飽肚子，只能吃不用錢的泥土。,花太多錢買演唱會的票，看來這個月又要準備吃土了！
吃瓜群眾,用來形容那些對熱鬧事件保持圍觀態度，但並不參與其中或發表意見的人,這場網紅撕逼太精彩，吃瓜群眾已經擠爆評論區了
吃素的,指某人怕事、軟弱。,他在會議上總是吃素的，從不敢對老闆的提議提出質疑。
吃播,以吃東西為主題的直播形式。,小明最近迷上了吃播，每天都會在網路上觀看他的偶像吃遍各地美食，了解不同地方的飲食文化。
吉,字形似「告」而作為「告」的用法。多為避免「提出告訴」的法律用語及責任。,講這種話小心被吉。
同人,指自創、不受商業影響的自我創作，或自主的創作，比商業創作有較大的創作自由度。,作為一名漫畫愛好者，她經常投入創作同人作品，享受不受商業束縛的自由表達。
同框,指兩個或多個人物、物品同時出現在同一個畫面或照片中，通常用來描述一起合影或一道出現的情況。,首度同框入鏡
同溫層,因生活圈相同，價值觀、想法和立場接近的群體。,在社交媒體上，人們往往會與自己的同溫層互動，因為他們更容易理解彼此的觀點和價值觀。
吐槽,台灣台語「黜臭（thuh-tshàu）」，指出他人短處或不給面子。,當朋友們一起聚餐時，小明忍不住開始吐槽阿強，說他的歌聲就像貓在尖叫一樣。
回文,在論壇或社交媒體上指用戶在自己的帖子或評論下添加新的回應，有時是在對他人的回應中進行糾正或添加補充說明。,欸 你是不是不會編輯回文啊，一直刪到推文= =
回憶殺,指某一事物、場景或事件喚起人們對過去美好時光的強烈回憶和情感共鳴。,5千名歌迷齊聚，一同穿越30年回憶殺
地雷,表示實際有害/價值不符/令人受騙的人/事/物,這款看似優惠的保險計畫其實是個地雷，隱藏了許多不利條款。
地獄,帶有嘲諷的玩笑，將他人的痛苦作為幽默、笑點。大多以歧視、刻板印象、災難等為開玩笑的對象。,他們在聚會上講了一個地獄笑話，把天災人禍中的受害者當成了笑柄，引得在場的人神情尷尬。
地獄哽,地獄哽指非常黑暗或不合時宜的笑話，通常涉及敏感或禁忌話題，會讓人引起不適或尷尬的笑料。,他的地獄哽讓整個房間瞬間安靜下來，大家不知該笑還是保持沉默。
好 Chill,形容放鬆、愜意、很酷的生活方式。,今天下課後去河邊散步，吹著涼風，人生好 Chill 啊！
好了啦,用在文章內容太超過時，表現出旁人勸架的語氣，帶有嘲諷原po表現太超過，在惱羞、硬要的意味。較常出現在政治文、仇女文等戰文類文章的推文中。,好了啦，講這麼多結果還不是你自己玻璃心碎滿地。
好人卡,指在表示感情時，被對方以「你是個好人」之類的話語間接拒絕的情況，暗示未能進一步發展戀愛關係。,小張告白後只收到一張「好人卡」，心中有些失落。
好棒棒,指以諷刺或貶低的口吻稱讚他人；表面上誇獎，實際上帶有諷刺意味。,阿不就好棒棒
好解 / 很解,指當某人說話或做某事時，讓你瞬間從期待轉為反感，甚至讓氣氛冷卻、掃興。,我原本覺得對他滿暈的，但他竟然衣服穿到荷葉邊都不丟，真的讓我很解。
好蒿爽爽,「好好爽爽」的意思,"剛買了新遊戲,今天回家要好蒿爽爽。"
安安,打招呼的用語。,安安，大家好啊！今天有什麼有趣的話題嗎？
安堆,用於指某人或事物因未被足夠關注或低調，而被錯誤地認為沒有價值或重要性的現象。,他又高又帥怎麼會沒人知道！安堆！
忙內,韓語中指團體或群體中年齡最小的成員，通常在團體中享有特別的關愛或特別的角色。,年紀最小的婁峻碩當然是「忙內」
扣打,指一定時間內被允許使用的數量或配額，通常用於描述限額、容量或任務的分配。來源於英語「quota」的音譯。,這個月的數據流量已經用完了，我得等到下個月才能重新獲得新的扣打。
收割,在政治或經濟環境中，指一個人或組織透過某種方式佔有、控制或利用資源、成果，通常帶有牟取不勞而獲利益的意味。,柯文哲的無圍牆博物館僅是「收割地方、綁樁文化」
早鳥,源自諺語「早起的鳥兒有蟲吃」。形容在預定時間之前的時段，通常用於提供特別優惠或服務。,許多顧客利用「早鳥」特價，在開店前就排隊等待，以獲得五折的早餐優惠。
有一樁沒一樁,形容事情不確定或不連貫，或者分散注意力的事情時有時無。,他總是有一樁沒一樁地忙著，卻始終無法集中精力完成手頭的重要工作。
有料,形容事物有真實力或東西豐富、有意思，不是空洞的。,這間燒肉店的肉盤超有料，滿滿的和牛還附贈干貝和蝦子，CP值爆表！
次元刀,形容能迅速且精準地切入問題核心或劃分界線的能力或工具，通常帶有超乎尋常的效果或影響力。,說的好像跟你無關一樣，廖董這次元刀也真厲害
次世代,指技術、設計或產品在現有標準基礎上具有顯著進步的下一階段或新一代。,次世代主機Xbox Series X及Series S將於11/10在台上市
百搭,形容具有高度的搭配性和適應性，能與多種風格或類型的服飾、配件等相配，不易出錯。,休閒V領拋袖針織百搭上衣藍
老六,指射擊遊戲中，躲在暗處用「不講武德」的方式取勝的人，後用來諷刺不擇手段或使用陰險方式的人,這個老六又搞偷襲，臭不要臉
肉球,肉墊，多指犬貓腳掌沒有毛的部分。,每次小貓走過木地板時，她粉紅色的肉球都在地面上悄無聲息地移動著。
肉搜,指利用網路或社群，依循對方留下的資訊，搜索出更多個人訊息，可能包含其真實身分、照片等隱私。,由於在網路上發表了一篇引起爭議的文章，小李很快就成為了肉搜的對象，許多他的私人資訊被曝光在網上。
自助餐,指某人只想獲得利益、不願負擔相應的責任與風險，或標準不一，只承認對己方有利的說法。多含貶義。,他總是挑選那些對自己有利的規則，而忽略其他規範，簡直就是在玩一場道德自助餐。
自肥,指利用一些手段為自己謀求利益、名聲等。 有時也用在在自己的創作中刻意給自己（或自己喜歡的角色）安插戲份、登場機會。,作為電視劇編劇，他被指控在劇情中自肥，給自己飾演的角色增加了大量戲份和煽情劇情。
自媒體,指一般大眾藉由網路，向不特定多數人發送資訊，是有別於報紙、電視新聞台等傳統媒體的新型媒體。常見的自媒體平台有部落格、社群網站或Podcast。,隨著自媒體的興起，越來越多的人開始在社群網站上分享自己的見解和生活故事，形成一股新的內容創作潮流。
自嗨,自我娛樂或自我滿足的狀態，通常指某人在沒有外界反應或支持的情況下依然興奮或沉浸於自己創造的活動中。,這頻道都粉絲在自嗨
自曝,自我曝光，公佈有關自己的訊息。,在訪談中，他自曝即將參演一部大片，引發粉絲們的高度期待。
自爆,指個人主動公開或承認自己曾經隱藏的缺陷、失誤或尷尬事件，通常是無意間或為了博取同情或笑聲。,他還自爆，上路首日發生民眾使用悠遊卡靠卡東西就掉下來
虫合,蛤的拆字型拆解，參見「蛤」條目。,虫合??你確定嗎？
血流成河,指看熱鬧並期待情勢失控或有驚人的發展。,在網上的辯論中，他們煽動情緒，似乎非要鬧到血流成河才能罷休。
行充,「行動充電器」的簡稱。,出門旅行時，別忘了帶上行充，免得手機半路沒電了。
行動支付,指使用手機、手錶或手環等隨身電子產品付款。,在現代社會中，行動支付已成為人們日常購物的主要方式，用手機輕輕一刷就能完成付款。
伸手,指只會發問，卻不會先查資料的人。也作「伸手黨」、「伸手仔」、「伸手牌」。,A：欸，你知道那個報告的截止日期是什麼時候嗎？ B：自己去查啊！別老是伸手，上面都寫得很清楚了。
伸手牌,指只會發問，卻不會先查資料的人。也作「伸手黨」、「伸手仔」、「伸手」。,小李在群組裡問了一個簡單的問題，大家都說他是典型的「伸手牌」，因為他從沒嘗試過自己查找資料。
低消,指商家設立的最低消費額度，顧客需滿足此額度才能享受特定服務或優惠。,熊貓外送現在有低消R
低碳,1.「低碳排放量」的簡稱。 2.「低碳水化合物」的簡稱。,許多城市正在推廣低碳生活方式，以減少溫室氣體的排放並保護環境。
低端,1.社會底層或階級較低的人。也作「底端」。 2.譏諷愚昧或道德觀低下的人。,在他們的談話中，經常聽到對於不同職業的偏見，尤其是那些被認為屬於「低端」工作的人。
低端人口,指社會的底層階級。用於自嘲或調侃別人。,唉我們這種低端人口去不起那種地方消費拉。
住海邊,形容一個人多管閒事，管轄範圍如海岸線一樣寬。,不要每件事都插手，大家又沒求你意見，這麼住海邊不累嗎？
佛,形容事物平和、隨和、不計較或令人感到滿意的狀態。多用於描述價格合理或態度悠閒隨意。,1. 品質穩定，這個價格很佛2. 我就很佛啊，懶得算這遊戲去哪邊練等划算，反正有怪就打
佛心,形容慈悲如佛，具有善心。,即使面對批評和誤解，他仍以佛心待人，努力幫助需要幫助的人。
佛系,指一種沒有很在乎、順其自然、隨緣的態度。,我喜歡佛系工作，努力做好自己分內的事，其他事情則順其自然。
你那邊還來得及,用於當別人講的事情是過時的，或是大家都已知道的事等，表示講話的人跟大家是活在不同時空而且還活在過去，還沒發生一些大家早發生的事。該句後面會加上一些對大家來說是過去發生的不愉快事情，而請講話的人去阻止。,你那邊還來得及，快去阻止蘋果發表第一代 iPhone，不然智慧型手機就要改變世界了！
免運,「免除運費」的簡稱。,下單滿300元即可享受免運優惠，讓購物更輕鬆便捷。
初4,網絡用語，表示一個人第一次生氣或不快，帶有調侃和可愛感，類似於說「第一次生氣」。,初4惹，他生氣惹
初四,參見【出4】。,「我們決定在初四那天舉行家庭聚會，因為大家都可以安排好時間。」
否放,For fun 的音譯，常用於開玩笑地表示放棄、不計較或隨意處理的態度,不爽打了，這場否放吧～
含金量,形容某事物的價值、品質或重要性。,雖然這款手機價格偏高，但配置和性能的含金量絕對對得起這個價位。
吹哨者,首先揭露團體內部問題的人。,在公司貪污醜聞爆發後，公司的前會計師被譽為關鍵吹哨者，因為她首先揭露了內部的財務不當行為。
囧,顏文字，從字形看起來像是一個表情，且與「窘」字同音。用以表示尷尬、受不了或被打敗等意思。,考試時突然忘記所有公式，我心中只浮現一個「囧」字。
坑,(1)地面上的凹洞。(2)陷害、欺騙。(3)引人深深投入其中的任何事物。對某個主題開始關注、開始遊玩某個遊戲可以稱為「掉坑」、「入坑」；反之則稱為「脫坑」、「退坑」。(4)自己的創作。開始一項創作稱為「挖坑」；將未完成的創作繼續完成稱為「填坑」。常見於腐女圈。,(1)今天回家路上被地上的坑絆到，摔了一跤。有夠倒楣！ (2)網購買來的東西實品品質比照片差了很多，這根本就是被坑了嘛！ (3)最近朋友推薦了我幾個有名的Vtuber，然後我就入了Vtuber這個大坑。 (4)自己挖的坑自己填。今天不把這張圖畫完我不睡覺！
尬,原為尷尬的縮寫，表示令人不自在或難以應對的情況。引申為比拼、較勁，如在比賽或活動中相互較量。,1. 極速拍檔的企劃直接買新車尬2. 呼聲這麼高結果沒奪冠，全場都很尬==
尬車,指在駕駛中，雙方駕駛者以競爭或挑釁的心態故意互相追趕、超車或進行其他冒險行為，通常不按規則行車，增加交通事故風險。,雙方相互尬車、逼車
尬聊,最少兩個人的情況下強硬提出話題聊天。 例句：他這樣尬聊只是浪費他們的時間,儘管大家都對那個話題興趣缺缺，他還是繼續尬聊，把整個場面搞得很尷尬。
尬電,源自於英文的 God Damn，感到驚訝的時候可以使用。,尬電！我他媽的又搞砸了！
尿性,「調性」的近似發音，用來以貶低的方式描述調性。,根據演藝人員的尿性，這次他們一定照樣跪舔的啦！
屁孩,自以為是、不知反省和自量、調皮搗蛋、愛給人添麻煩的青少年,校園裡的那群屁孩總是在上課時間偷偷玩手機，讓老師非常頭疼。
快充,快速充電技術，能在較短時間內為電子設備充電，大大縮短充電時間。,不開快充1%充到滿約130多分鐘
快閃,形容事物存在的時間短暫，過了便消失不在。,當流星劃過天際，只留下短暫的光芒，就像一場快閃的奇蹟。
我有一個大膽的想法,懷抱著一些在別人看起來會有些不切實際的夢想,我有一個大膽的想法，說不定我買個樂透就能中頭獎，不用上班了。
我沒了 (wml),原是從「啊我死了」、「我可以」延伸而來，用於連前者都無法表達內心的激動，承受不了對方的優點，類似暈船了、快不行了等詞的意涵。wml 為本詞的拼音，為相同意思。,朋友送了一個手作禮物，還寫了一張卡片... wml
我是什麼很賤的人嗎,自嘲式抱怨，當遇到衰事或不順心的事，常用這句來自我調侃。,早上穿了新鞋，出門就踩到狗屎，我是什麼很賤的人嗎？
我們懷念他,緬懷有些人在中國或其他人身安全不穩定的處境下做出挑戰當局者的舉動，就算有性命不保之虞。,他當年在牆內發了一篇批評政府的長文，從此人間蒸發...我們懷念他。
我婆,通常用於指代二次元女性人物或公眾人物，特別是受到崇拜或喜愛的女性，類似於自己心中的女神。,我婆星野真的好可愛
我就爛,源自梗圖，表達一種自嘲式的放棄態度。,作業寫不完了，我就爛，明天隨便交吧。
扯,在口語中指誇張、不切實際或不可信的言論或行為，也可表示閒聊、胡說。,他剛才說的那些投資計畫，聽起來有點扯，可能不太可靠。
把拔,有些地區或家庭中，小孩用來稱呼父親的親暱叫法，類似於「爸爸」的意思。,把拔我好餓喔
抖內,參見「斗內」。,昨天我在直播時，有人特意抖內了一筆幫助我改善設備。
抖M,只從被虐待得到快感的人,一天工作10小時，你是抖M嗎？
抖S,指施虐癖好或具有施虐癖好的人,他的朋友們常開玩笑地稱他為抖S，因為他總是喜歡開一些小玩笑來捉弄他們。
沒路用,不中用,小明的鬧鐘壞了，鈴聲響不出來，真是個沒路用的東西。
沒圖沒真相,通常是看見有人在網路上發表一些難以置信的事情時，向對方要求照片或圖片做為證據時使用的句子,小李說他中了彩票頭獎，全辦公室的人都笑著說：「沒圖沒真相，你得拿彩票出來讓我們看看！」
沒綽,「沒錯」的意思，帶有詼諧語氣,你說的沒綽，我十分認同。
沒u,沒有,這次聚會我沒u時間去參加。
沙雕,指一種幽默且無厘頭的行為或說話方式，通常帶有自嘲或諷刺意味，用於形容可愛又傻氣的人或事情。,小明穿著睡衣就出門買早餐，真是個沙雕行為。
牡蠣,「鼓勵」的意思,給他一點牡蠣
男一,即戲劇中的第一、主要男主角。,在這部電影中，張先生擔任男一，完美地詮釋了一個充滿魅力和勇氣的角色。
男神,形容男性外表帥氣、氣質出眾，並具有吸引力和偶像特質的男子。,也讚F4的4位男神又帥又有男人味，根本凍齡！
男團,由多名男性成員組成的音樂或舞蹈團體，通常以演唱、舞蹈及偶像魅力為主要賣點，流行於亞洲娛樂圈。,台灣曾經也有不少男團，但目前大多是解散狀態
秀下限,指對方的行為低級、愚蠢、丟臉、無理取鬧、不可理喻到低於社會文明下限。「秀」是展現、show 的意思。,你不懂就不要出來秀下限！
私訊,動詞，私底下透過通訊軟體聯絡。 例如：「請使用LINE私訊我」、「等等私聊」。有的時候，會縮略成「私」一個字，例如：「私我」，就是請對方私底下聯絡發話者。,他在群裡發了資訊後，立刻補充說：「有問題可以直接私訊我。」
肝帝,形容在某領域中（如遊戲、學習或工作）不斷投入大量時間和精力，以達到卓越成就或完成高難度目標的人。,小明每天在遊戲中投入八小時，最終成為了公認的「肝帝」，所有高難度關卡對他來說都不再是挑戰。
芒果乾,諧音「亡國感」，用來形容刻意炒作危機意識或製造緊張氣氛來達成某種目的，常帶有嘲諷意味。,又來派芒果乾了，明明事情根本沒那麼嚴重。
赤史,吃屎,別赤屎了
赤石,吃屎,你又在赤石了
走心,指將某事件或玩笑看待得很認真，通常因而使人感到氣憤或難過。,小明只是在開玩笑，你別走心了，明白他不是故意要讓你難過的。
走讀,強調以走代讀，透過親身體驗的方式深度認識當地，達到探索、學習的教育目的。,這次的歷史課採用了走讀的方式，學生們穿梭在古城的小巷中，親身感受著城市的變遷與歲月的痕跡。
車充,車載充電器，供車輛內部使用以為電子設備充電的裝置。,我用moshi跟小米無線車充都沒問題喔
里辦,指在當地行政區或街道辦事處進行的正式討論或事務處理場所。,至里辦討論相關事宜
乳華,「乳華」是中文互聯網上的一個貶義詞，通常用來形容那些對中國抱有偏見或敵視態度的西方人或組織，尤其是白人，以乳製品和白人為聯想基點，意在批評其對中國的刻板印象或傲慢態度。,面對媒體的偏見報導，小王不禁吐槽道，真是又一例乳華思維的展現。
乳滑,「辱華」的諧音字，意指汙辱中華民族，常有部分名人因誤觸中國政治正確的敏感神經，遭小粉紅怒斥辱華。,這張小熊維尼的圖乳滑了。
亞洲家長,用以描述亞洲文化背景下的家長的刻板印象。他們強調教育、紀律和成就，因此可能對子女有過份高的期望和要求。,小明每天被媽媽強迫讀五個小時的書，亞州家長真可怕。
刷,指透過反覆刷新或更新來獲取新訊息，或快速、大量地進行某種操作，如點讚、評論等。,1. 垃圾網路，現在才刷出訊息2. 立即被家長刷一排讚爆
卷,形容一個人過度的努力或競爭，而顯得他人特別不足。,大半夜的又在卷，可以放過自己嗎？
呱張,「誇張」的諧音。,他那段故事聽得我直呼「呱張」，根本像小說一樣天馬行空！
呵呵,笑聲，常用於嘲諷。也作「ㄏㄏ」、「厂厂」、「廠廠」、「盒盒」。,當我告訴他我把簡報弄壞了，他只是淡淡地回了一個「呵呵」，讓我覺得他並沒有打算幫忙。
咖小,角色的台語。現多為嗆人身份地位的時候使用。,哩洗蝦米咖小？
咖啡話,咖啡話的意思是吸完毒後所說的話，「幹話、屁話、胡言亂語」的意思。,他昨晚太嗨了，整晚一直在講咖啡話，讓人摸不著頭腦。
坦,英文「Tank」，原指遊戲中替團隊擋下傷害，後擴大至一般生活中，即挺住、撐住意思。,這段時間工作壓力很大，但我會「坦」住，不會輕易放棄。
姆咪,由於缺乏明確的語境，「姆咪」可能是一種網路用語或語氣詞，常用於遊戲或聊天中無特定含義的音譯詞，表達一種隨意或親密的情感。,姆咪，開打前我會壓Vit或fnc 開打完…
定位,利用GPS系統或其他通訊訊號確定物品或人所在的位置。,小明使用手機的定位功能找到了他遺失在公園裡的錢包。
底迪,源自閩南語，指小弟弟或年輕的男性。常用於表示對方的年齡較小或不夠成熟。,底迪你太年輕了
底端,參見【低端】。,由於資源有限，他們只能購買市場上的底端產品。
怕周球,打桌球,小明每天下班後都會約朋友去打怕周球，提升他的桌球技巧。
怕豹,現用於對某事物或情境表示過度恐懼或焦慮，尤其是在情況尚不明朗或危機被誇大影響時。,台灣本土一天要+多少大家才會陷入恐慌?怕豹?
拉一坨,拉屎,湖人隊有拉了一坨
拉黑,表示在社交媒體或通訊軟體上將某人加入黑名單，阻止其與自己進行聯繫或觀看自己的動態。,由於不堪忍受對方的騷擾，她決定直接把他拉黑了。
拍謝,閩南語用詞，意指「不好意思」或「抱歉」。用于表示對某件事的歉意或羞愧之情。,朋友來我家玩掃到颱風尾被我罵到哭（拍謝小時候不懂事）
招黑,引起他人的惡意、招致負面輿論攻擊。,他的發言不當，再次在社交媒體上招黑，引發了大量批評。
放生,原指將捕獲的動物釋放回自然環境中，此處引申為在無法溝通或包容的情況下，選擇放手或讓某人從自己的生活中退出。,不能接受能否溝通，不能溝通能否包容，不能包容就放生吧
放閃,情侶在公開場合中展現甜蜜舉動。,在咖啡館裡，他們倆不停地放閃，讓旁邊的顧客都忍不住露出微笑。
放推,指放棄或不再追求某種目標或人生計畫，任由事情自然發展，不抱特定期待。,結婚、買房什麼的都沒在人生計畫內，這輩子已經放推的人多嗎?
放鳥,共同約定好的時間不出現。,小明約了朋友一起去看電影，卻在最後一刻臨時有事放鳥，讓朋友一個人在影院等了半天。
杯具,網絡用語，諧音於「悲劇」，用來形容事情發展不如預期，令人失望或沮喪的情況。,三星太快推快充 只會杯具 用一堆發哥是因為自身產能炸裂
杰哥不要！,出自一部性侵害防治教育影片中的台詞，用來調侃或幽默地表達拒絕、抗拒某事的情境。,朋友聚會上，有人醉得不省人事，另一個朋友說：「我送他回去。」旁邊的人開玩笑說：「杰哥不要！」
板凳,1.看熱鬧的意思。 2.被忽略、冷漠的意思。,1. 看熱鬧的意思：每當網絡上出現熱門事件時，他總是在社交媒體上擺好板凳，準備看個熱鬧。2. 被忽略、冷漠的意思：在公司的重大會議中，他經常感覺像是坐在板凳上一樣，被其他人忽略掉。
林北,台語的「你爸」，華語音譯。一種粗魯的用詞，提高說話者地位。,林北錢就是比你多，我想怎麼花關你屁事。
河蟹,「和諧」的諧音，泛指各種機構使用強制手段禁止或刪除某些網站內容。,由於某些敏感話題的討論，該論壇的多個帖子近日被河蟹，網友一片嘩然。
油土伯,youtuber 的意思,小美夢想成為一名成功的油土伯，分享她的旅行經歷和生活點滴。
